timestamp,name,value,min,max
2015-12-09 05:56:57.284000,pH,8.13,8.1,8.4
2015-12-09 05:56:57.284000,Salinity,1.0317,1.023,1.027
2015-12-09 05:56:57.284000,Temperature,76.66,72,78
2015-12-09 05:11:57.359000,pH,8.15,8.1,8.4
2015-12-09 05:11:57.359000,Salinity,1.0317,1.023,1.027
2015-12-09 05:11:57.359000,Temperature,76.75,72,78
2015-12-09 05:16:57.696000,pH,8.15,8.1,8.4
2015-12-09 05:16:57.696000,Salinity,1.0317,1.023,1.027
2015-12-09 05:16:57.696000,Temperature,76.7,72,78
2015-12-09 05:31:57.253000,pH,8.14,8.1,8.4
2015-12-09 05:31:57.253000,Salinity,1.0317,1.023,1.027
2015-12-09 05:31:57.253000,Temperature,76.69,72,78
2015-12-09 06:31:57.397000,pH,8.12,8.1,8.4
2015-12-09 06:31:57.397000,Salinity,1.0317,1.023,1.027
2015-12-09 06:31:57.397000,Temperature,76.64,72,78
2015-12-09 05:51:57.451000,pH,8.13,8.1,8.4
2015-12-09 05:51:57.451000,Salinity,1.0317,1.023,1.027
2015-12-09 05:51:57.451000,Temperature,76.7,72,78
2015-12-09 06:01:57.257000,pH,8.13,8.1,8.4
2015-12-09 06:01:57.257000,Salinity,1.0317,1.023,1.027
2015-12-09 06:01:57.257000,Temperature,76.66,72,78
2015-12-09 06:36:57.479000,pH,8.11,8.1,8.4
2015-12-09 06:36:57.479000,Salinity,1.0317,1.023,1.027
2015-12-09 06:36:57.479000,Temperature,76.64,72,78
2015-12-09 06:41:57.677000,pH,8.11,8.1,8.4
2015-12-09 06:41:57.677000,Salinity,1.0317,1.023,1.027
2015-12-09 06:41:57.677000,Temperature,76.63,72,78
2015-12-09 06:46:57.380000,pH,8.11,8.1,8.4
2015-12-09 06:46:57.380000,Salinity,1.0317,1.023,1.027
2015-12-09 06:46:57.380000,Temperature,76.64,72,78
2015-12-09 06:51:57.495000,pH,8.11,8.1,8.4
2015-12-09 06:51:57.495000,Salinity,1.0317,1.023,1.027
2015-12-09 06:51:57.495000,Temperature,76.56,72,78
2015-12-09 06:56:57.424000,pH,8.11,8.1,8.4
2015-12-09 06:56:57.424000,Salinity,1.0317,1.023,1.027
2015-12-09 06:56:57.424000,Temperature,76.55,72,78
2015-12-09 07:01:57.439000,pH,8.11,8.1,8.4
2015-12-09 07:01:57.439000,Salinity,1.0317,1.023,1.027
2015-12-09 07:01:57.439000,Temperature,76.55,72,78
2015-12-09 07:06:57.668000,pH,8.11,8.1,8.4
2015-12-09 07:06:57.668000,Salinity,1.0317,1.023,1.027
2015-12-09 07:06:57.668000,Temperature,76.55,72,78
2015-12-09 07:11:57.668000,pH,8.11,8.1,8.4
2015-12-09 07:11:57.668000,Salinity,1.0317,1.023,1.027
2015-12-09 07:11:57.668000,Temperature,76.55,72,78
2015-12-09 07:16:57.872000,pH,8.1,8.1,8.4
2015-12-09 07:16:57.872000,Salinity,1.0317,1.023,1.027
2015-12-09 07:16:57.872000,Temperature,76.51,72,78
2015-12-09 07:21:57.500000,pH,8.1,8.1,8.4
2015-12-09 07:21:57.500000,Salinity,1.0317,1.023,1.027
2015-12-09 07:21:57.500000,Temperature,76.51,72,78
2015-12-09 07:41:57.744000,pH,8.1,8.1,8.4
2015-12-09 07:41:57.744000,Salinity,1.0317,1.023,1.027
2015-12-09 07:41:57.744000,Temperature,76.52,72,78
2015-12-09 10:21:58.282000,pH,8.06,8.1,8.4
2015-12-09 10:21:58.282000,Salinity,1.0317,1.023,1.027
2015-12-09 10:21:58.282000,Temperature,76.15,72,78
2015-12-09 10:36:58.542000,pH,8.06,8.1,8.4
2015-12-09 10:36:58.542000,Salinity,1.0317,1.023,1.027
2015-12-09 10:36:58.542000,Temperature,76.19,72,78
2015-12-09 10:56:58.158000,pH,8.05,8.1,8.4
2015-12-09 10:56:58.158000,Salinity,1.0317,1.023,1.027
2015-12-09 10:56:58.158000,Temperature,76.1,72,78
2015-12-09 11:36:58.347000,pH,8.05,8.1,8.4
2015-12-09 11:36:58.347000,Salinity,1.0317,1.023,1.027
2015-12-09 07:26:57.574000,pH,8.1,8.1,8.4
2015-12-09 07:26:57.574000,Salinity,1.0317,1.023,1.027
2015-12-09 07:26:57.574000,Temperature,76.51,72,78
2015-12-09 07:31:57.662000,pH,8.1,8.1,8.4
2015-12-09 07:31:57.662000,Salinity,1.0317,1.023,1.027
2015-12-09 07:31:57.662000,Temperature,76.53,72,78
2015-12-09 09:01:57.810000,pH,8.08,8.1,8.4
2015-12-09 09:01:57.810000,Salinity,1.0317,1.023,1.027
2015-12-09 09:01:57.810000,Temperature,76.33,72,78
2015-12-09 09:51:57.970000,pH,8.06,8.1,8.4
2015-12-09 09:51:57.970000,Salinity,1.0317,1.023,1.027
2015-12-09 09:51:57.970000,Temperature,76.27,72,78
2015-12-09 10:16:58.053000,pH,8.06,8.1,8.4
2015-12-09 10:16:58.053000,Salinity,1.0317,1.023,1.027
2015-12-09 10:16:58.053000,Temperature,76.19,72,78
2015-12-09 11:01:58.185000,pH,8.05,8.1,8.4
2015-12-09 11:01:58.185000,Salinity,1.0317,1.023,1.027
2015-12-09 11:01:58.185000,Temperature,76.1,72,78
2015-12-09 12:51:58.515000,pH,8.03,8.1,8.4
2015-12-09 12:51:58.515000,Salinity,1.0317,1.023,1.027
2015-12-09 12:51:58.515000,Temperature,76.7,72,78
2015-12-09 13:36:58.755000,pH,8.01,8.1,8.4
2015-12-09 13:36:58.755000,Salinity,1.0317,1.023,1.027
2015-12-09 13:36:58.755000,Temperature,76.89,72,78
2015-12-09 10:11:58.002000,pH,8.06,8.1,8.4
2015-12-09 10:11:58.002000,Salinity,1.0317,1.023,1.027
2015-12-09 10:11:58.002000,Temperature,76.21,72,78
2015-12-09 11:41:58.344000,pH,8.05,8.1,8.4
2015-12-09 11:41:58.344000,Salinity,1.0317,1.023,1.027
2015-12-09 11:41:58.344000,Temperature,76.2,72,78
2015-12-09 12:21:58.428000,pH,8.03,8.1,8.4
2015-12-09 12:21:58.428000,Salinity,1.0317,1.023,1.027
2015-12-09 12:21:58.428000,Temperature,76.44,72,78
2015-12-09 12:31:58.908000,pH,8.03,8.1,8.4
2015-12-09 12:31:58.908000,Salinity,1.0317,1.023,1.027
2015-12-09 12:31:58.908000,Temperature,76.55,72,78
2015-12-09 13:06:58.541000,pH,8.02,8.1,8.4
2015-12-09 13:06:58.541000,Salinity,1.0317,1.023,1.027
2015-12-09 13:06:58.541000,Temperature,76.78,72,78
2015-12-09 07:36:57.564000,pH,8.1,8.1,8.4
2015-12-09 07:36:57.564000,Salinity,1.0317,1.023,1.027
2015-12-09 07:36:57.564000,Temperature,76.53,72,78
2015-12-09 11:56:58.459000,pH,8.04,8.1,8.4
2015-12-09 11:56:58.459000,Salinity,1.0317,1.023,1.027
2015-12-09 11:56:58.459000,Temperature,76.29,72,78
2015-12-09 07:46:57.763000,pH,8.1,8.1,8.4
2015-12-09 07:46:57.763000,Salinity,1.0317,1.023,1.027
2015-12-09 07:46:57.763000,Temperature,76.51,72,78
2015-12-09 07:51:57.615000,pH,8.09,8.1,8.4
2015-12-09 07:51:57.615000,Salinity,1.0317,1.023,1.027
2015-12-09 07:51:57.615000,Temperature,76.46,72,78
2015-12-09 09:06:58.099000,pH,8.07,8.1,8.4
2015-12-09 09:06:58.099000,Salinity,1.0317,1.023,1.027
2015-12-09 09:06:58.099000,Temperature,76.33,72,78
2015-12-09 11:11:58.331000,pH,8.05,8.1,8.4
2015-12-09 11:11:58.331000,Salinity,1.0317,1.023,1.027
2015-12-09 11:11:58.331000,Temperature,76.07,72,78
2015-12-09 11:21:58.245000,pH,8.05,8.1,8.4
2015-12-09 11:21:58.245000,Salinity,1.0317,1.023,1.027
2015-12-09 11:21:58.245000,Temperature,76.09,72,78
2015-12-09 07:56:57.900000,pH,8.09,8.1,8.4
2015-12-09 07:56:57.900000,Salinity,1.0317,1.023,1.027
2015-12-09 07:56:57.900000,Temperature,76.44,72,78
2015-12-09 10:51:58.128000,pH,8.05,8.1,8.4
2015-12-09 10:51:58.128000,Salinity,1.0317,1.023,1.027
2015-12-09 10:51:58.128000,Temperature,76.12,72,78
2015-12-09 11:06:58.182000,pH,8.05,8.1,8.4
2015-12-09 11:06:58.182000,Salinity,1.0317,1.023,1.027
2015-12-09 11:06:58.182000,Temperature,76.1,72,78
2015-12-09 12:26:58.430000,pH,8.03,8.1,8.4
2015-12-09 12:26:58.430000,Salinity,1.0317,1.023,1.027
2015-12-09 12:26:58.430000,Temperature,76.54,72,78
2015-12-09 08:01:57.582000,pH,8.09,8.1,8.4
2015-12-09 08:01:57.582000,Salinity,1.0317,1.023,1.027
2015-12-09 08:01:57.582000,Temperature,76.44,72,78
2015-12-09 08:06:57.750000,pH,8.09,8.1,8.4
2015-12-09 08:06:57.750000,Salinity,1.0317,1.023,1.027
2015-12-09 08:06:57.750000,Temperature,76.43,72,78
2015-12-09 09:16:58.078000,pH,8.07,8.1,8.4
2015-12-09 09:16:58.078000,Salinity,1.0317,1.023,1.027
2015-12-09 09:16:58.078000,Temperature,76.27,72,78
2015-12-09 09:56:59.151000,pH,8.06,8.1,8.4
2015-12-09 09:56:59.151000,Salinity,1.0317,1.023,1.027
2015-12-09 09:56:59.151000,Temperature,76.21,72,78
2015-12-09 11:26:58.310000,pH,8.05,8.1,8.4
2015-12-09 11:26:58.310000,Salinity,1.0317,1.023,1.027
2015-12-09 11:26:58.310000,Temperature,76.1,72,78
2015-12-09 12:06:58.357000,pH,8.04,8.1,8.4
2015-12-09 12:06:58.357000,Salinity,1.0317,1.023,1.027
2015-12-09 12:06:58.357000,Temperature,76.34,72,78
2015-12-09 13:16:58.621000,pH,8.02,8.1,8.4
2015-12-09 13:16:58.621000,Salinity,1.0317,1.023,1.027
2015-12-09 13:16:58.621000,Temperature,76.89,72,78
2015-12-09 09:31:57.922000,pH,8.07,8.1,8.4
2015-12-09 09:31:57.922000,Salinity,1.0317,1.023,1.027
2015-12-09 09:31:57.922000,Temperature,76.28,72,78
2015-12-09 09:36:57.919000,pH,8.06,8.1,8.4
2015-12-09 09:36:57.919000,Salinity,1.0317,1.023,1.027
2015-12-09 09:36:57.919000,Temperature,76.29,72,78
2015-12-09 10:46:58.140000,pH,8.05,8.1,8.4
2015-12-09 10:46:58.140000,Salinity,1.0317,1.023,1.027
2015-12-09 10:46:58.140000,Temperature,76.15,72,78
2015-12-09 08:11:57.700000,pH,8.09,8.1,8.4
2015-12-09 08:11:57.700000,Salinity,1.0317,1.023,1.027
2015-12-09 08:11:57.700000,Temperature,76.43,72,78
2015-12-09 09:46:57.960000,pH,8.07,8.1,8.4
2015-12-09 09:46:57.960000,Salinity,1.0317,1.023,1.027
2015-12-09 09:46:57.960000,Temperature,76.27,72,78
2015-12-09 08:16:57.666000,pH,8.09,8.1,8.4
2015-12-09 08:16:57.666000,Salinity,1.0317,1.023,1.027
2015-12-09 08:16:57.666000,Temperature,76.37,72,78
2015-12-09 08:21:57.772000,pH,8.09,8.1,8.4
2015-12-09 08:21:57.772000,Salinity,1.0317,1.023,1.027
2015-12-09 08:21:57.772000,Temperature,76.41,72,78
2015-12-09 13:21:58.792000,pH,8.02,8.1,8.4
2015-12-09 13:21:58.792000,Salinity,1.0317,1.023,1.027
2015-12-09 13:21:58.792000,Temperature,76.89,72,78
2015-12-09 08:26:58.314000,pH,8.09,8.1,8.4
2015-12-09 08:26:58.314000,Salinity,1.0317,1.023,1.027
2015-12-09 08:26:58.314000,Temperature,76.43,72,78
2015-12-09 11:46:58.372000,pH,8.04,8.1,8.4
2015-12-09 11:46:58.372000,Salinity,1.0317,1.023,1.027
2015-12-09 11:46:58.372000,Temperature,76.21,72,78
2015-12-09 08:31:57.676000,pH,8.08,8.1,8.4
2015-12-09 08:31:57.676000,Salinity,1.0317,1.023,1.027
2015-12-09 08:31:57.676000,Temperature,76.4,72,78
2015-12-09 08:41:57.783000,pH,8.08,8.1,8.4
2015-12-09 08:41:57.783000,Salinity,1.0317,1.023,1.027
2015-12-09 08:41:57.783000,Temperature,76.38,72,78
2015-12-09 11:16:58.400000,pH,8.05,8.1,8.4
2015-12-09 11:16:58.400000,Salinity,1.0317,1.023,1.027
2015-12-09 11:16:58.400000,Temperature,76.1,72,78
2015-12-09 13:26:58.786000,pH,8.02,8.1,8.4
2015-12-09 13:26:58.786000,Salinity,1.0317,1.023,1.027
2015-12-09 13:26:58.786000,Temperature,76.88,72,78
2015-12-09 08:36:57.771000,pH,8.08,8.1,8.4
2015-12-09 08:36:57.771000,Salinity,1.0317,1.023,1.027
2015-12-09 08:36:57.771000,Temperature,76.37,72,78
2015-12-09 08:46:57.871000,pH,8.08,8.1,8.4
2015-12-09 08:46:57.871000,Salinity,1.0317,1.023,1.027
2015-12-09 08:46:57.871000,Temperature,76.35,72,78
2015-12-09 08:51:58.349000,pH,8.08,8.1,8.4
2015-12-09 08:51:58.349000,Salinity,1.0317,1.023,1.027
2015-12-09 08:51:58.349000,Temperature,76.39,72,78
2015-12-09 08:56:58.148000,pH,8.08,8.1,8.4
2015-12-09 08:56:58.148000,Salinity,1.0317,1.023,1.027
2015-12-09 08:56:58.148000,Temperature,76.31,72,78
2015-12-09 10:26:58.138000,pH,8.06,8.1,8.4
2015-12-09 10:26:58.138000,Salinity,1.0317,1.023,1.027
2015-12-09 10:26:58.138000,Temperature,76.21,72,78
2015-12-09 10:31:58.037000,pH,8.05,8.1,8.4
2015-12-09 10:31:58.037000,Salinity,1.0317,1.023,1.027
2015-12-09 10:31:58.037000,Temperature,76.18,72,78
2015-12-09 11:31:58.393000,pH,8.05,8.1,8.4
2015-12-09 11:31:58.393000,Salinity,1.0317,1.023,1.027
2015-12-09 11:31:58.393000,Temperature,76.1,72,78
2015-12-09 12:56:58.826000,pH,8.03,8.1,8.4
2015-12-09 12:56:58.826000,Salinity,1.0317,1.023,1.027
2015-12-09 12:56:58.826000,Temperature,76.75,72,78
2015-12-09 12:11:58.340000,pH,8.03,8.1,8.4
2015-12-09 12:11:58.340000,Salinity,1.0317,1.023,1.027
2015-12-09 12:11:58.340000,Temperature,76.4,72,78
2015-12-09 12:16:58.579000,pH,8.04,8.1,8.4
2015-12-09 12:16:58.579000,Salinity,1.0317,1.023,1.027
2015-12-09 12:16:58.579000,Temperature,76.44,72,78
2015-12-09 09:11:57.849000,pH,8.07,8.1,8.4
2015-12-09 09:11:57.849000,Salinity,1.0317,1.023,1.027
2015-12-09 09:11:57.849000,Temperature,76.31,72,78
2015-12-09 09:21:58.169000,pH,8.07,8.1,8.4
2015-12-09 09:21:58.169000,Salinity,1.0317,1.023,1.027
2015-12-09 09:21:58.169000,Temperature,76.28,72,78
2015-12-09 10:41:58.123000,pH,8.05,8.1,8.4
2015-12-09 10:41:58.123000,Salinity,1.0317,1.023,1.027
2015-12-09 10:41:58.123000,Temperature,76.15,72,78
2015-12-09 09:26:57.895000,pH,8.07,8.1,8.4
2015-12-09 09:26:57.895000,Salinity,1.0317,1.023,1.027
2015-12-09 09:26:57.895000,Temperature,76.31,72,78
2015-12-09 09:41:57.910000,pH,8.07,8.1,8.4
2015-12-09 09:41:57.910000,Salinity,1.0317,1.023,1.027
2015-12-09 09:41:57.910000,Temperature,76.26,72,78
2015-12-09 10:06:58.099000,pH,8.06,8.1,8.4
2015-12-09 10:06:58.099000,Salinity,1.0317,1.023,1.027
2015-12-09 10:06:58.099000,Temperature,76.21,72,78
