id,readings_string,device_id,timestamp,created_at,updated_at
45c84c83-a688-40d7-81ef-ba80434b41b3,"ph:7.89060,ec:55292.94531,tds:29858.18945,pss:36.65400,c:24.83750",30003a001247343330343136,2016-02-18 10:35:53.721000,2016-02-18 10:35:53.759357,2016-02-18 10:35:53.759357
920c49d5-4cac-4c89-a204-37b8bd885f92,"ph:7.98210,ec:55324.62891,tds:29875.29883,pss:36.68200,c:25.15625",30003a001247343330343136,2016-02-18 06:39:33.151000,2016-02-18 06:39:33.191365,2016-02-18 06:39:33.191365
a2af195a-d4f6-4838-8d9a-7fedd172de48,"ph:8.05630,ec:55435.03125,tds:29934.91406,pss:36.76300,c:25.18750",30003a001247343330343136,2016-02-18 04:54:04.769000,2016-02-18 04:54:04.825011,2016-02-18 04:54:04.825011
10254fa3-fe89-48f2-9908-81f3578cee40,"ph:8.05400,ec:55328.56641,tds:29877.42773,pss:36.68300,c:25.18750",30003a001247343330343136,2016-02-18 04:59:05.708000,2016-02-18 04:59:05.761582,2016-02-18 04:59:05.761582
dfdc7e78-4fb1-4dc5-954f-24fb94014dd0,"ph:8.07220,ec:55484.64844,tds:29961.70898,pss:36.80100,c:25.18750",30003a001247343330343136,2016-02-18 04:28:59.633000,2016-02-18 04:28:59.671692,2016-02-18 04:28:59.671692
747032a1-7501-4b5d-8fe3-bd982fb7d700,"ph:7.92510,ec:55234.40234,tds:29826.57617,pss:36.61000,c:25.00000",30003a001247343330343136,2016-02-18 08:39:57.545000,2016-02-18 08:39:57.579402,2016-02-18 08:39:57.579402
3e8b4e93-ca68-448c-8420-f36d9231d5bc,"ph:8.06150,ec:55423.87891,tds:29928.89453,pss:36.75500,c:25.18750",30003a001247343330343136,2016-02-18 04:44:02.782000,2016-02-18 04:44:02.821392,2016-02-18 04:44:02.821392
3f11aae5-1b1b-4f02-a95b-6050a306195c,"ph:8.06110,ec:55420.00781,tds:29926.80273,pss:36.75200,c:25.18750",30003a001247343330343136,2016-02-18 04:49:03.707000,2016-02-18 04:49:03.746729,2016-02-18 04:49:03.746729
8529dfec-e847-433a-9bfc-4e18b893e455,"ph:8.02310,ec:55370.43359,tds:29900.03320,pss:36.71700,c:25.18750",30003a001247343330343136,2016-02-18 05:49:22.918000,2016-02-18 05:49:22.952056,2016-02-18 05:49:22.952056
f6a4528e-1ca2-47dd-befa-07cd3772c3b5,"ph:8.05160,ec:55415.56250,tds:29924.40234,pss:36.74800,c:25.18750",30003a001247343330343136,2016-02-18 05:04:06.773000,2016-02-18 05:04:06.826463,2016-02-18 05:04:06.826463
